,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA
1,ID,氏名,部署,役職,入社年,,,,,,,,,,,,,,,,,,,,,
2,001,吉田 大樹,営業部,主任,2009,,,,,,,,,,,,,,,,,,,,,
3,002,清水 さくら,人事部,課長,2008,,,,,,,,,,,,,,,,,,,,,
4,003,鈴木 陽子,製造部,係長,2019,,,,,,,,,,,,,,,,,,,,,
5,004,加藤 愛,総務部,課長,2014,,,,,,,,,,,,,,,,,,,,,
6,005,中村 拓也,経理部,部長,2024,,,,,,,,,,,,,,,,,,,,,
7,006,清水 直樹,製造部,係長,2023,,,,,,,,,,,,,,,,,,,,,
8,007,鈴木 健太,総務部,部長,2005,,,,,,,,,,,,,,,,,,,,,
9,008,山田 隆,企画部,主任,2020,,,,,,,,,,,,,,,,,,,,,
10,009,井上 勇気,総務部,一般,2022,,,,,,,,,,,,,,,,,,,,,
11,010,中村 あゆみ,人事部,部長,2012,,,,,,,,,,,,,,,,,,,,,
12,011,高橋 勇気,IT部,係長,2016,,,,,,,,,,,,,,,,,,,,,
13,012,渡辺 麻衣,営業部,係長,2009,,,,,,,,,,,,,,,,,,,,,
14,013,井上 太郎,企画部,一般,2010,,,,,,,,,,,,,,,,,,,,,
15,014,木村 健一,人事部,係長,2023,,,,,,,,,,,,,,,,,,,,,
16,015,田中 次郎,IT部,課長,2008,,,,,,,,,,,,,,,,,,,,,
17,016,高橋 拓也,製造部,係長,2015,,,,,,,,,,,,,,,,,,,,,
18,017,伊藤 あゆみ,IT部,主任,2011,,,,,,,,,,,,,,,,,,,,,
19,018,森 健一,総務部,主任,2022,,,,,,,,,,,,,,,,,,,,,
20,019,山本 由美,人事部,部長,2012,,,,,,,,,,,,,,,,,,,,,
21,020,中村 美咲,開発部,課長,2012,,,,,,,,,,,,,,,,,,,,,
22,021,佐々木 美咲,開発部,係長,2014,,,,,,,,,,,,,,,,,,,,,
23,022,渡辺 あゆみ,開発部,係長,2019,,,,,,,,,,,,,,,,,,,,,
24,023,山崎 拓也,総務部,主任,2017,,,,,,,,,,,,,,,,,,,,,
25,024,井上 大樹,経理部,係長,2013,,,,,,,,,,,,,,,,,,,,,
26,025,佐々木 大輔,開発部,部長,2020,,,,,,,,,,,,,,,,,,,,,
27,026,高橋 由美,企画部,主任,2016,,,,,,,,,,,,,,,,,,,,,
28,027,松本 絢香,経理部,課長,2020,,,,,,,,,,,,,,,,,,,,,
29,028,佐々木 真理,開発部,部長,2017,,,,,,,,,,,,,,,,,,,,,
30,029,田中 健一,IT部,係長,2021,,,,,,,,,,,,,,,,,,,,,
31,030,加藤 真理,営業部,主任,2017,,,,,,,,,,,,,,,,,,,,,
32,031,林 智子,企画部,主任,2013,,,,,,,,,,,,,,,,,,,,,
